Recipe:
1-Pot, 3-Bean Chicken Stew Recipe - Allrecipes.com
15.0,ounce,garbanzo bean
16.0,ounce,fettuccine
0.5,teaspoon,salt
0.5,teaspoon,pepper
1.0,teaspoon,dry mustard
1.0,tablespoon,dill
1.0,tablespoon,coriander
1.0,teaspoon,chili paste
2.0,teaspoon,lemon juice

Recipe:
African Peanut Soup Recipe - Allrecipes.com
2.0,tablespoon,olive oil
2.0,whole,white onion
2.0,whole,red bell pepper
4.0,clove,garlic
28.0,ounce,crushed tomato
8.0,cup,vegetable broth
0.25,teaspoon,pepper
0.25,teaspoon,chili powder
0.67,cup,peanut butter
0.5,cup,brown rice

Recipe:
African Sweet Potato and Peanut Soup Recipe - Allrecipes.com
1.0,tablespoon,vegetable oil
1.0,whole,white onion
2.0,clove,garlic
2.0,teaspoon,ginger
1.5,teaspoon,cumin
8.25,ounce,coriander
0.5,teaspoon,cinnamon
1.0,pinch,clove
3.0,whole,roma tomato
1.5,pound,potato
1.0,whole,carrot
4.5,cup,water
1.0,teaspoon,salt
0.25,cup,roasted peanut
1.0,pinch,cayenne pepper
2.0,tablespoon,peanut butter

Recipe:
African Turkey Stew Recipe - Allrecipes.com
3.0,whole,turkey
1.0,cube,chicken bouillon
4.0,whole,red bell pepper
6.0,whole,roma tomato
1.0,whole,white onion
4.0,whole,habanero pepper
1.0,tablespoon,garlic
2.0,tablespoon,tomato paste
1.0,cup,vegetable oil
1.0,dash,salt

Recipe:
After the Holidays Ham Bone Soup Recipe - Allrecipes.com
12.0,ounce,ham
1.0,whole,white onion
15.0,ounce,roma tomato
14.0,ounce,mixed vegetables
3.0,whole,potato
1.5,cup,fettuccine
0.75,cup,rice
10.0,ounce,tomato puree

Recipe:
After-Thanksgiving Turkey Soup Recipe - Allrecipes.com
1.0,whole,turkey
3.0,whole,white onion
2.0,whole,carrot
1.0,rib,celery
1.0,cup,butter
1.0,cup,flour
2.0,cup,half-and-half
1.0,cup,rice
2.0,teaspoon,salt
1.0,teaspoon,chicken bouillon
0.75,teaspoon,pepper

Recipe:
Ajiaco (Beef and Pepper Stew) Recipe - Allrecipes.com
2.0,tablespoon,vegetable oil
1.0,cup,shallot
2.0,tablespoon,garlic
2.0,whole,red bell pepper
1.5,teaspoon,chili powder
2.0,teaspoon,cumin
3.0,cup,pot roast
1.0,pound,potato
2.0,cup,water
1.0,quart,chicken broth
0.5,teaspoon,oregano
1.0,dash,salt and pepper
0.25,cup,fresh parsley
2.0,whole,egg

Recipe:
Ajo Blanco con Uvas Recipe - Allrecipes.com
0.13,cup,almond
0.5,cup,bread crumb
5.0,clove,garlic
1.0,dash,salt
2.0,tablespoon,olive oil
1.0,tablespoon,white wine
2.0,cup,water
6.0,cube,ice
1.0,pound,seedless green grape

Recipe:
Albondigas Recipe - Allrecipes.com
1.0,quart,water
4.0,whole,carrot
2.0,whole,potato
1.0,whole,white onion
1.5,cup,salsa
1.0,cube,beef bouillon
1.5,pound,ground beef
0.33,cup,bread crumb
0.33,cup,milk
1.0,whole,coriander

Recipe:
Albondigas Soup I Recipe - Allrecipes.com
1.0,pound,ground beef
0.25,pound,pork sausage
8.0,ounce,white onion
1.0,whole,egg
0.5,teaspoon,salt
0.08,ounce,pepper
0.25,teaspoon,garlic powder
0.25,cup,milk
2.08,ounce,basil
0.5,cup,cornmeal
84.0,ounce,chicken broth
8.0,ounce,salsa
29.0,ounce,diced tomato
0.5,teaspoon,oregano
0.5,cup,rice

Recipe:
Albondigas Soup II Recipe - Allrecipes.com
1.0,pound,ground beef
2.0,cube,beef bouillon
33.0,ounce,water
2.0,clove,garlic
1.0,whole,white onion
1.0,slice,vegetarian burger
1.0,whole,egg
1.0,teaspoon,chili powder
0.5,teaspoon,oregano
0.25,ounce,cumin
3.0,whole,carrot
1.0,whole,red bell pepper
2.0,stalk,celery
14.5,ounce,stewed tomato
0.5,whole,cabbage
0.5,teaspoon,red pepper
1.0,dash,salt and pepper

Recipe:
Albondigas Soup III Recipe - Allrecipes.com
2.0,quart,water
1.0,pound,ground beef
0.5,cup,rice
1.0,whole,egg
2.0,tablespoon,oregano
2.0,teaspoon,garlic
2.0,teaspoon,pepper
0.25,teaspoon,cumin
0.5,cup,flour
3.0,whole,potato
1.0,dash,salt and pepper

Recipe:
Alder Wood-Smoked Acorn Squash Soup Recipe - Allrecipes.com
3.0,whole,alder wood
4.0,whole,acorn squash
8.0,ounce,bacon
1.0,cup,butter
1.0,quart,chicken broth
1.0,quart,water
1.0,dash,salt
1.0,tablespoon,cumin
4.0,cup,sour cream
1.0,cup,fresh parsley
2.0,cup,coriander
1.0,tablespoon,paprika
0.25,teaspoon,cayenne pepper

Recipe:
Alison's Slow Cooker Vegetable Beef Soup Recipe - Allrecipes.com
1.5,pound,ground beef
2.0,cup,water
1.0,whole,white onion
28.0,ounce,crushed tomato
16.0,ounce,mixed vegetables
2.0,whole,potato
10.0,cube,beef bouillon
2.0,teaspoon,pepper
1.0,tablespoon,salt
1.0,tablespoon,basil

Recipe:
Allana's Excellent Potato Soup Recipe - Allrecipes.com
8.0,ounce,ham
1.0,cup,white onion
1.0,tablespoon,butter
2.5,pound,potato
29.0,ounce,chicken broth
1.0,tablespoon,dry mustard
1.5,cup,milk
10.75,ounce,celery
0.25,teaspoon,garlic powder
0.13,ounce,italian seasoning

Recipe:
Allana's Zesty Red Clam Chowder Recipe - Allrecipes.com
6.0,slice,bacon
1.0,tablespoon,vegetable oil
1.0,whole,white onion
2.0,whole,carrot
2.0,stalk,celery
1.0,whole,potato
29.0,ounce,clam
14.5,ounce,diced tomato
15.0,ounce,tomato puree
0.54,ounce,pepper
0.25,teaspoon,italian seasoning
0.5,teaspoon,fresh parsley
0.25,teaspoon,marjoram
0.25,teaspoon,garlic powder
0.25,teaspoon,thyme
0.25,teaspoon,dry mustard
0.5,teaspoon,cajun seasoning
6.5,ounce,shrimp

Recipe:
All-Bran Simple Way Chili Recipe - Allrecipes.com
1.0,pound,ground beef
1.0,whole,white onion
2.0,whole,red bell pepper
28.0,ounce,roma tomato
14.0,ounce,tomato puree
4.0,teaspoon,chili powder
0.25,teaspoon,garlic powder
0.25,teaspoon,salt
1.0,pinch,pepper
19.0,ounce,red kidney bean
1.0,cup,gin

Recipe:
Alligator Chili Recipe - Allrecipes.com
